State,eu une satisfaction en 3D,eu une distinction en 3D,eu une grande distinction en 3D,échoué en 3D,eu une satisfaction en JV,eu une distinction en JV,eu une grande distinction en JV,échoué en JV,eu une satisfaction en PP,eu une distinction en PP,eu une grande distinction en PP,échoué en PP,eu une satisfaction en DWM,eu une distinction en DWM,eu une grande distinction en DWM,échoué en DWM,eu une satisfaction en ANIM,eu une distinction en ANIM,eu une grande distinction en ANIM,échoué en ANIM
2009-10,75,29,1,73,16,8,1,59,91,17,4,37,33,17,4,20,29,7,0,10
2010-11,86,17,4,62,33,8,3,60,66,13,2,54,51,16,4,29,35,18,4,33
2011-12,53,11,4,111,23,23,2,72,68,14,1,46,64,16,6,60,36,24,2,35
2012-13,79,23,2,63,26,14,5,69,76,20,0,54,72,26,4,53,46,27,7,25
2013-14,60,31,1,67,25,19,5,105,79,14,2,40,58,29,6,60,49,21,4,31
